# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.70902777	0.7371841	0.7799847
2	0.85225374	0.9392824	0.89640033
3	0.8579832	0.85083336	0.87639487
4	0.84032923	0.8494176	0.88705474
6	0.68294317	0.65073293	0.8948291
8	1.0230461	0.8995595	0.752395
10	1.0059114	0.8494176	0.8623311
12	0.9686907	0.8240517	0.85510886
14	0.83143324	0.66255677	0.66732025
16	0.75854385	0.62522966	0.638125
20	0.7026841	0.61395067	0.58110416
24	0.539926	0.5726304	0.55219036
28	0.3955831	0.54686666	0.5287416
32	0.3920891	0.51801115	0.5105
