# Benchmark LUD (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.82563883	0.932993	0.949659
2	1.2211318	1.7572116	1.3655576
3	1.2889575	1.7633047	1.5876205
4	1.3565298	1.9198949	1.6773268
6	1.6980256	2.1595273	2.1207616
8	1.9874257	2.468552	2.4890401
10	2.055536	3.1230974	2.94239
12	2.2359014	3.233619	3.020661
14	2.1362557	3.0641866	2.7468295
16	2.096809	2.74554	2.7099166
20	1.9780146	2.6348276	2.623598
24	1.9055067	2.3566391	2.2273853
28	2.2223067	2.3542674	2.1886227
32	1.697779	2.2614076	2.121531
