# Benchmark LUD (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.82917774	0.9298653	0.94734037
2	1.5556116	1.750019	1.7912154
3	1.8853111	1.9307479	2.1763182
4	2.0015588	2.1374733	2.5807443
6	2.120267	2.8288608	3.270251
8	2.7759428	3.5317264	4.089622
10	3.4469259	4.0425906	4.5762796
12	3.915382	4.77457	5.5190735
14	4.104693	4.757127	5.4938197
16	4.3544817	4.8073425	5.420062
20	4.4242916	4.753702	5.4280176
24	3.599237	4.2639055	4.9806056
28	4.4344783	4.2998	5.1619205
32	4.4610114	4.8098435	5.24301
