# Benchmark LUD (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.8170576	0.92114407	0.94030094
2	1.181725	1.7412218	1.3612161
3	1.4617432	2.123101	1.7810303
4	1.7578137	2.5414968	2.059759
6	2.208082	2.9612174	2.5020616
8	2.3628445	3.45298	2.8359365
10	2.5926468	3.667727	3.2440913
12	2.842579	3.7708912	3.6422367
14	2.6040654	3.5156274	3.4922006
16	2.8513663	3.4842854	3.5464473
20	2.8538365	3.4748342	3.601843
24	2.6878424	3.3031085	3.3274171
28	3.21335	3.2684622	3.335117
32	2.8506613	2.8307145	3.4832327
