# Benchmark LUD (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.834375	0.92329454	0.9501779
2	1.1167301	1.2859019	1.2819729
3	1.1194968	1.3277577	1.3346967
4	1.1738609	1.4116799	1.4729187
6	1.3727506	1.6635514	1.7358156
8	1.4597416	1.8084975	1.8978999
10	1.7011294	1.8742821	2.0006812
12	1.7870399	1.8236573	2.04669
14	1.5811574	1.719555	1.6730276
16	1.483708	1.6190739	1.5201863
20	1.3220797	1.5143079	1.5811574
24	1.2103853	1.323271	1.3952494
28	1.3365188	1.303306	1.3955809
32	1.2955447	1.2224766	1.3426286
