# Benchmark LUD (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.8388834	0.9387468	0.9492373
2	1.5840137	1.7829907	1.8076909
3	2.0919302	2.524314	2.5824513
4	2.5011585	3.2557642	3.3456335
6	3.1512797	3.6741858	4.279465
8	3.4744031	3.763702	4.8182573
10	3.5549557	4.319786	5.601557
12	3.8777487	4.9933043	5.0825534
14	3.9953094	4.881977	4.9824514
16	4.187021	5.0764394	5.1285973
20	4.3834186	5.3266206	5.186325
24	4.3848677	5.307286	5.2428493
28	5.1530776	5.3416376	5.9009757
32	6.0918603	5.6845555	6.5178137
