# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 32	WorkAssisting 32
1	0.8171828	0.92102844	0.93965024
2	1.1977916	1.6541567	1.7760613
3	1.5268928	1.2896665	2.1337066
4	1.5045689	1.731308	2.5789003
6	2.0689764	2.3894994	3.1847887
8	2.7771218	3.3258548	4.1850944
10	2.9632986	3.7647395	4.392435
12	3.2183595	4.018741	4.8412266
14	3.4206114	3.784829	4.50841
16	3.473704	3.7647395	4.1847143
20	3.6799967	3.7294128	4.1493115
24	3.4469533	3.3921714	3.8967965
28	3.803564	4.041641	4.0466075
32	3.9434607	3.9080274	4.2049437
