# Benchmark Compactions (n = 4,194,304, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.70577204	0.99749666	0.67896163	0.6752392	1.1097641	1.3277146	1.2878327
2	0.715236	0.57724756	0.42200348	0.298493	0.5490355	0.91900694	0.9977905
3	0.71568936	1.0121022	0.374834	0.31345147	0.46210518	1.1139616	1.1146947
4	0.70116967	1.040553	0.3376028	0.313524	0.4835808	1.3556134	1.2544445
6	0.71028626	1.4738903	0.3161727	0.31251153	0.3981193	1.8422627	1.5823406
8	0.70058954	1.8733407	0.32426998	0.3262377	0.36901453	2.3726795	1.8558904
10	0.6462507	2.14843	0.32912254	0.33014914	0.35792032	2.5154104	2.0804667
12	0.640931	2.2144492	0.335496	0.33123076	0.3567892	2.6721892	2.1155527
14	0.6347451	2.469559	0.31795353	0.3163499	0.32335672	2.628638	2.107654
16	0.6371332	2.441081	0.31486472	0.3035626	0.2950477	2.451683	2.15458
20	0.617446	2.159388	0.295202	0.28222647	0.27699858	2.5172799	2.163526
24	0.62815285	2.2693467	0.30363065	0.28886995	0.29076704	2.431443	2.029967
28	0.39574692	2.1893988	0.32399082	0.317864	0.30342665	2.4677596	1.9697586
32	0.436188	2.014273	0.34375316	0.43334186	0.35966867	2.1443496	2.1129134
