# Benchmark Scans (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	1.0538474	1.1740736	1.2313652	1.227454	1.2380174	1.236464	1.219932
2	1.5447562	1.1201546	1.6305121	1.5446352	1.5345324	1.6016253	1.5600412
3	1.5157669	1.3659551	1.4220362	1.3945656	1.3400421	1.7222756	1.6038412
4	1.7122502	1.5589305	1.711804	1.708243	1.7327237	1.7470082	1.7233298
6	1.7269541	1.6385101	1.6183281	1.6223247	1.5477892	1.707799	1.6366053
8	1.7007248	1.6575273	1.5998052	1.5948855	1.5477892	1.6915287	1.613162
10	1.7066158	1.637149	1.5921797	1.5760096	1.5233825	1.6657933	1.5621433
12	1.690223	1.6106571	1.602016	1.6175312	1.5359676	1.6356544	1.5596708
14	1.6938547	1.5951437	1.5808133	1.5787872	1.5197409	1.6260726	1.4991633
16	1.6787053	1.6207237	1.5219709	1.5375253	1.4610423	1.6295683	1.525387
20	1.6497573	1.5880741	1.5178682	1.5363268	1.4464587	1.6224582	1.513555
24	1.5285814	1.5890986	1.5328615	1.5250329	1.4358152	1.5469388	1.4916742
28	1.5178682	1.5644995	1.5085732	1.5179851	1.4355015	1.5889704	1.483701
32	1.504887	1.5442721	1.5128579	1.3872035	1.4482657	1.4507177	1.3671869
