# Benchmark Compactions (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.6469403	0.81550753	1.15329	1.1517444	1.1014595	1.3339175	1.2993075
2	1.3586801	0.7626968	0.9528936	0.9513284	2.1041782	1.6893469	1.5257431
3	2.3775992	0.98291767	1.9471569	1.940491	1.3024837	2.3869724	2.1788664
4	2.4877207	1.1960045	1.9075612	1.9070151	1.7297105	2.61931	2.3689313
6	2.412697	1.647761	1.2287717	1.2542254	1.2008023	2.6758738	2.296638
8	2.403121	2.051359	1.2554666	1.2233549	1.2170954	3.0024793	2.6121187
10	2.4044223	2.4522276	1.23298	1.2494607	1.2076609	3.170038	2.7993064
12	2.3336544	2.7030234	1.2531044	1.2492849	1.1978328	3.1802554	2.8729646
14	1.8913106	2.793729	1.1387476	1.1356409	1.0836723	3.1046498	2.7753932
16	1.8284832	2.7840946	1.0718999	1.0431088	0.98956245	3.117365	2.7442315
20	1.7513148	2.8581698	0.96476424	0.9608324	0.90131265	3.084163	2.7527382
24	1.5780714	2.8649318	0.98608285	0.9706697	0.9111772	3.0263546	2.7156982
28	1.5070996	2.6713126	1.0205325	0.98418856	0.9060332	2.9125397	2.6542792
32	1.41602	2.9163656	1.1354473	1.4684709	1.2325808	2.6858554	2.733812
