# Benchmark Scans (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.9918372	1.1043645	1.1047829	1.1164141	1.1074752	1.1153467	1.0939727
2	1.4500476	1.1976863	1.3630131	1.3637568	1.3867248	1.4870814	1.4726875
3	1.5526667	1.3279952	1.513254	1.4925361	1.5027268	1.5899137	1.5488868
4	1.5511525	1.4276855	1.5462861	1.5377922	1.5459446	1.5937514	1.5613956
6	1.5232664	1.4761664	1.4251273	1.3941277	1.3950726	1.549504	1.5212798
8	1.4684235	1.4957258	1.5283892	1.5238634	1.5136468	1.5484756	1.5059603
10	1.4668231	1.4787863	1.5129924	1.5109019	1.4953423	1.522935	1.4785364
12	1.4593602	1.4603347	1.5175195	1.5094682	1.5126654	1.5114241	1.4682386
14	1.4558389	1.4468701	1.5129269	1.506998	1.500536	1.4931092	1.4286181
16	1.4241413	1.4698421	1.4684235	1.4761041	1.4446003	1.4971336	1.4253014
20	1.4076995	1.460091	1.4760418	1.4876504	1.4664544	1.4813529	1.4188865
24	1.4008807	1.4523948	1.452214	1.4563236	1.4297855	1.462043	1.3922973
28	1.3829434	1.4369482	1.4501678	1.4455552	1.422983	1.4447197	1.3918543
32	1.3429788	1.3240258	1.371292	1.383709	1.3682894	1.3568299	1.3099499
