# Benchmark Scans (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	1.3068624	1.3098202	1.2956468	1.304571	1.0743606	1.2977451	1.2765931
2	1.7281022	1.2879574	1.6516569	1.6726075	1.5766611	1.6771857	1.6225857
3	1.7035159	1.4813709	1.3868992	1.2177929	1.1153105	1.7155797	1.5265241
4	1.6582298	1.6304586	1.2220788	1.15475	1.0982604	1.7161449	1.3577945
6	1.6699263	1.7063063	1.1891552	1.164431	1.0962955	1.7463537	1.5550082
8	1.6389239	1.729824	1.1995624	1.1661257	1.0943376	1.735299	1.5869896
10	1.6165426	1.7032374	1.182138	1.1628711	1.1054866	1.7218182	1.5874733
12	1.5757072	1.6758366	1.1913311	1.1566733	1.1228845	1.6648554	1.5745163
14	1.4798977	1.6170444	1.1359869	1.1184238	1.0675343	1.6731448	1.4964803
16	1.4550915	1.6619337	1.1037296	1.0740283	1.0490433	1.6707298	1.5425737
20	1.40353	1.6516569	1.0718181	1.0520097	1.0089104	1.6540171	1.5387001
24	1.3248124	1.5596646	1.0541388	1.0439968	0.98748696	1.6296934	1.4875053
28	1.2860494	1.5108049	1.0860091	1.0190765	0.97227925	1.6008914	1.4209521
32	1.2405621	1.5480754	1.0491489	0.9853386	0.91755486	1.3876382	1.4314965
