# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 1	Multi-atomics 32 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	Multi-atomics 64 10 4	Work assisting
1	0.60777473	0.7219724	0.6213584	0.5218757	0.62143946	0.6217639	0.62195337	0.6412097	0.6407497	0.64207405
2	1.1533495	1.0572655	0.9869466	0.90134984	1.0285015	0.9754266	0.9776957	1.1550275	1.1105067	0.99318874
3	1.4692577	1.4629402	1.5202128	1.2601411	1.3908896	1.3482404	1.3852268	1.5922005	1.6501155	1.374435
4	1.9863775	1.8689511	1.9295166	1.578308	1.7386544	1.7130184	1.7152803	1.8964831	1.9452764	1.6857378
6	2.0919337	2.164168	1.9800471	1.9083867	2.051098	2.028389	2.0341637	2.0220745	2.0373538	1.8817488
8	2.0647306	2.1605685	2.0321388	2.0177915	2.0461054	2.0452268	2.042012	1.9946957	2.0309834	1.9066044
10	2.037935	1.9713064	1.9751209	2.025514	1.9756671	1.994139	2.0078685	1.9838955	1.9858254	1.8684623
12	2.028101	2.0824833	1.779355	1.9908053	1.9569981	1.9527193	1.9468665	1.9586074	1.9637213	1.8395983
14	1.9308201	2.0925465	1.6476421	1.9350034	1.9466013	1.9431602	1.9513861	1.9030497	1.9101725	1.8426821
16	1.875082	2.0626442	1.6357601	1.9508532	1.9010243	1.9068588	1.9160633	1.902543	1.8775457	1.8006552
20	1.6963438	1.8606771	1.6911242	1.9186358	1.8857218	1.8379421	1.8152947	1.90635	1.902543	1.7703172
24	1.5245919	1.9751209	1.7869201	1.8604349	1.8287688	1.8315816	1.7826847	1.7437462	1.8417321	1.7683455
28	1.3483676	1.9540545	1.6680285	1.8716438	1.7934237	1.7938739	1.8070308	1.763762	1.763762	1.7367525
32	1.1417385	1.9389416	1.7452369	1.8178349	1.8327562	1.566886	1.6126848	1.7555282	1.6766397	1.588837
