# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.71022725	0.7541478	0.30084234	0.74460167	0.7782101
2	0.83682007	0.8718396	0.40257648	0.86132646	0.8481764
3	0.84033614	0.84674007	0.43917435	0.8136696	0.8795075
4	0.8278146	0.82304525	0.46926326	0.8764242	0.78369904
6	0.87032205	0.8278146	0.543183	0.87873465	0.9259259
8	0.91157705	0.83263946	0.53304905	0.90171325	0.921659
10	0.9049774	0.82236844	0.6188119	0.8389262	0.8748906
12	0.88967973	0.7980846	0.6188119	0.8305648	0.84388185
14	0.78492934	0.6596306	0.49261084	0.6868132	0.643915
16	0.74183977	0.5656109	0.47103155	0.6510417	0.63211125
20	0.59844404	0.5232862	0.43365136	0.5931198	0.5938242
24	0.56116724	0.5279831	0.36166364	0.5473454	0.53792363
28	0.4743833	0.508647	0.41701418	0.5025126	0.499002
32	0.43898156	0.390625	0.4	0.49019608	0.48947626
