# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.8365091	0.9878049	0.97079676	0.9083395	1.1835768	1.1770364	1.1836581	1.1751925
2	1.6489534	0.978505	1.8779798	1.3696119	1.6908076	1.7485558	1.6957932	1.3166208
3	2.1908572	1.4501976	1.9003195	1.6721264	2.1650145	2.1563554	2.0468621	1.2611842
4	2.3660176	1.9015762	1.7538884	1.9061983	2.2924528	2.3576114	2.318017	1.3217651
6	2.523106	2.5338523	2.1156347	2.286377	2.492848	2.4950109	2.4924877	1.6614984
8	2.4979007	2.579695	2.1579738	2.4330842	2.4774554	2.5040638	2.455943	1.8680165
10	2.451755	2.2377431	2.0029023	2.434114	2.3886197	2.3979151	2.4272652	1.9576762
12	2.4180799	2.397582	2.232242	2.3725247	2.2991738	2.370243	2.3582559	1.9840156
14	2.437553	2.4799483	2.4337707	2.367966	2.3349574	2.3416123	2.3090203	1.9603454
16	2.289107	2.4696536	1.9710957	2.3483055	2.2915394	2.2900186	2.2967253	2.0408092
20	2.1252773	2.1762109	2.2888033	2.2426882	2.2609096	2.2351341	2.274321	2.054907
24	1.7088946	2.3167717	2.2450228	2.2494133	2.2028856	2.1373885	2.196715	1.9771945
28	1.6175698	2.3754647	2.0534396	2.2409403	2.1323693	2.097629	2.0741765	2.0178947
32	1.3976831	2.3286543	2.006163	1.9157228	2.047834	2.0983946	2.133424	1.838751
