# Benchmark Compactions (n = 4,194,304, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.40988243	1.362161	0.75769097	1.3300667	1.0850484	1.202904
2	0.43226942	0.8308153	0.27150458	0.34715647	0.39744547	0.7234887
3	0.44989067	0.91586506	0.26811534	0.31115556	0.361355	0.88217396
4	0.45087644	1.1169672	0.2657031	0.3037619	0.34630835	1.0342088
6	0.44906723	1.4949614	0.26949725	0.29490083	0.34123248	1.3753773
8	0.44827828	1.8393887	0.27272338	0.30263782	0.3365694	1.6742783
10	0.44843584	2.0517852	0.2775892	0.3046032	0.34165284	1.9121703
12	0.44558537	2.2962563	0.28704494	0.30243695	0.33976033	2.0231526
14	0.4473352	2.283924	0.2669596	0.2914915	0.30687448	2.0360677
16	0.44403452	2.328952	0.26049495	0.27485028	0.28965172	2.02701
20	0.44246376	2.2798429	0.2508652	0.26084647	0.27462545	2.0976653
24	0.42591974	2.1277518	0.26634654	0.2657806	0.27920514	1.9959325
28	0.2900996	2.302057	0.26483166	0.28370026	0.28941518	1.9289386
32	0.41422078	1.7597241	0.31266543	0.29577595	0.30773312	1.7056149
