# Benchmark Compactions (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.84687555	1.3665683	1.1018599	1.3370522	1.0872461	1.208897
2	1.64172	0.9188926	2.0981667	2.337311	2.0787592	2.2745507
3	2.153186	1.3235357	2.231682	2.4958825	2.434632	2.566261
4	2.4727178	1.7089821	2.4122915	2.9423168	2.3920305	2.9897134
6	2.6979446	2.3686488	2.2874124	2.45204	2.4035747	2.93665
8	2.7025797	2.5653975	2.4484658	2.4391859	2.6685245	2.993687
10	2.7943215	2.7524927	2.3754613	2.483188	2.632447	3.0970595
12	2.8483691	2.8805733	2.4445403	2.3628886	2.485056	3.0460398
14	2.6711857	2.8984325	2.3120656	2.3430579	2.3601878	3.0558074
16	2.7107847	2.9087255	2.8461604	2.8769774	2.8066664	3.0389416
20	2.702727	2.956536	2.5373528	2.4366672	2.5404096	2.9779453
24	2.7631593	2.9371722	2.4469545	2.472471	2.5103598	2.9166005
28	2.6977243	2.9110322	2.5852048	2.4351704	2.9082985	2.8843455
32	2.7559369	2.6989734	2.539108	2.5613532	2.7030218	2.679563
