# Benchmark LUD (n = 512, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.82351047	0.9260768	0.23939453	0.9010037	0.9205967
2	1.5590937	1.7466513	0.46425802	1.7180198	1.7534819
3	2.0729024	2.486878	0.68117297	2.444071	2.506599
4	2.5425062	3.2072928	0.89564955	3.1355112	3.2512403
6	3.0742505	3.2226605	1.2790602	3.3972504	3.953287
8	3.3149157	3.6586094	1.6413997	3.5525417	4.6648417
10	3.4053981	4.050946	1.8594592	4.212328	5.358553
12	4.462832	4.7173634	2.2069178	4.6219387	5.822247
14	4.490838	4.71699	2.2407224	4.672517	5.486736
16	4.361859	4.611455	2.2486362	4.810465	5.4431667
20	4.4165597	4.827599	2.2440107	4.802588	5.95262
24	4.3157716	5.0363426	2.4594595	4.8845387	6.25021
28	4.9469376	5.459278	2.4654925	5.3761044	5.6969175
32	5.729392	5.8148665	2.6312416	6.891868	6.1877356
