# Benchmark Scans (n = 4,194,304, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	1.0690805	1.0400684	1.0566864	1.0307659	1.0539122	1.0575663
2	1.4194467	1.1432937	1.4051303	1.4054143	1.403443	1.4137034
3	1.5367278	1.3404276	1.509935	1.5182843	1.5104012	1.5238376
4	1.5205042	1.4130832	1.5066622	1.5150274	1.5133435	1.5179702
6	1.4748297	1.4179227	1.4571583	1.4559214	1.4551194	1.4617224
8	1.485446	1.4317726	1.4832106	1.4870851	1.4775356	1.4851954
10	1.4731517	1.4196146	1.4721829	1.4706911	1.4696437	1.4676024
12	1.4678143	1.3979466	1.4569333	1.449307	1.4586228	1.4445988
14	1.4520637	1.3869653	1.451218	1.4491162	1.4494501	1.4360226
16	1.4430835	1.415097	1.4447569	1.4378204	1.4445356	1.4294481
20	1.4416186	1.4038458	1.4249908	1.4295564	1.4293553	1.4024743
24	1.4219531	1.3976507	1.4215245	1.4164325	1.4190959	1.391466
28	1.4118446	1.3911436	1.4027275	1.3984795	1.4005111	1.3823345
32	1.2494419	1.2852875	1.2973576	1.3097345	1.3006923	1.3023983
