# Benchmark Compactions (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.8174962	1.3208083	1.0659206	1.2991052	1.0500121	1.1753262
2	1.1165982	0.88969564	1.3407679	1.8984427	1.6425315	1.8154294
3	1.5945883	1.1490275	1.7478112	1.539705	1.2765033	2.0222437
4	1.6270801	1.3209175	1.5655655	2.286594	1.9934676	2.407709
6	2.6972358	1.669082	1.4162282	1.4799222	1.5217087	2.6487727
8	2.653761	2.038072	2.3476577	2.330415	2.4700212	2.8678918
10	2.6320386	2.3658586	1.8919954	1.9374418	2.2201576	2.824941
12	2.5556622	2.6203785	1.9235185	1.9671128	2.224074	2.8552444
14	2.5557985	2.6938994	1.7438669	1.7713325	1.9642901	2.7761617
16	2.0305574	2.7117388	1.6310683	1.6670494	1.8578796	2.7115853
20	1.9617968	2.7630334	1.5269465	1.5647473	1.7650678	2.7117388
24	1.9232097	2.772146	1.5767459	1.5816387	1.81598	2.6231043
28	1.8630813	2.6810856	1.542928	1.5885084	1.8308303	2.5997612
32	1.8595381	2.6146584	1.8765079	1.820811	2.2742202	2.4282093
