# Benchmark LUD (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.7993283	0.9036538	0.23624022	0.5188215	0.57472605
2	1.1537659	1.3038229	0.4575805	1.3486261	1.016486
3	1.4553883	1.5709723	0.5345069	1.7761997	1.3749301
4	1.5760057	1.994863	0.5336564	2.293307	2.0369008
6	1.819714	2.464099	0.66049	2.614267	2.578034
8	2.108497	2.8889325	0.8225261	2.8520808	3.0958042
10	2.5	3.1571815	0.99487615	3.4101062	3.2647493
12	2.8938422	3.3522642	1.2060698	3.8289223	3.5805564
14	2.9466188	3.2744083	1.278076	3.2389524	3.3588772
16	2.847678	3.1794024	1.2732973	3.3305748	3.392857
20	2.8945992	3.0518405	1.2775598	3.2623434	3.3522642
24	2.6856346	2.6467774	1.3872524	2.732716	2.8400052
28	3.1206825	2.8058054	1.4551969	3.1459637	3.1010087
32	2.9940484	2.7000487	1.7386694	3.1374912	2.9651709
