# Benchmark LUD (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.8213277	0.9353386	0.16133955	0.926398	0.94969785
2	1.1295649	1.5379529	0.2676763	1.3035194	1.3340216
3	1.3805794	1.5531517	0.330548	1.3432664	1.5375463
4	1.3561101	1.5202614	0.4093341	1.4141537	1.6090205
6	1.6440486	1.6548094	0.5805131	1.7499248	1.8715802
8	1.8177556	1.7739475	0.7242496	1.8613956	1.9506876
10	1.9254967	1.6973146	0.83393085	2.0569508	1.9671854
12	1.9552791	1.7153392	0.9121569	2.072345	1.7594553
14	1.7017852	1.4562985	0.8619923	1.7250074	1.5849005
16	1.5914067	1.3200908	0.86046165	1.6270286	1.5814523
20	1.3931481	1.2994413	0.8409255	1.4336785	1.4975535
24	1.2570255	1.1397492	0.816943	1.5119605	1.4073088
28	1.4755138	1.1364081	0.85201466	1.5274495	1.3624649
32	1.4155307	1.0994517	0.6771864	1.2218953	1.1478484
