# Benchmark Scans (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	1.0483509	1.0391589	1.0571847	1.0551846	1.0563602	1.044326
2	1.4043674	1.1435045	1.3730191	1.3753238	1.3739572	1.3907422
3	1.5212129	1.340084	1.4820464	1.471466	1.4882944	1.5105835
4	1.5109274	1.4112056	1.4966513	1.5030913	1.496685	1.5128907
6	1.4391751	1.4188989	1.453166	1.4560033	1.4519898	1.4557478
8	1.4406434	1.4305822	1.4547906	1.4540894	1.4528798	1.4496429
10	1.4191417	1.4202045	1.424839	1.4209039	1.4219694	1.4433692
12	1.4683408	1.398626	1.4434005	1.4396746	1.4449718	1.4162043
14	1.4569942	1.3870219	1.4304589	1.4201438	1.4258492	1.4160835
16	1.3924638	1.4109656	1.4393936	1.4381772	1.43603	1.4086597
20	1.3826587	1.4008105	1.4331771	1.4310141	1.4355642	1.384678
24	1.3752668	1.3919673	1.4257267	1.4205085	1.4255735	1.3604108
28	1.365533	1.3807889	1.4218171	1.4211777	1.4240746	1.350528
32	1.3248892	1.2541384	1.3487442	1.3468828	1.3226976	1.2592782
