# Benchmark LUD (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.808933	0.9086364	0.23562147	0.8909731	0.9053227
2	1.5241909	1.7332566	0.45915115	1.6891774	1.7202393
3	1.8416952	1.8389894	0.6692698	1.8671948	2.0932002
4	1.9476441	2.0084295	0.8826199	2.1070962	2.5299191
6	2.0690289	2.8088179	1.2269746	2.9080825	3.1875112
8	2.7275267	3.5038242	1.5954723	3.4147007	3.748724
10	3.097198	4.24773	1.6306605	4.0458436	4.0225863
12	3.6500328	4.8452187	1.7595083	4.637393	4.5395617
14	3.709295	4.556085	1.8993994	5.0340433	4.4968376
16	3.9091668	4.646121	1.8166598	5.1633162	4.99584
20	3.9217598	4.4393325	1.7316356	5.1187077	5.0110517
24	3.5167189	3.9715333	1.7547833	4.589496	5.4730263
28	4.289969	4.4234233	1.8205302	4.6811166	4.5873637
32	4.407191	4.2951527	2.1380181	4.618835	4.399772
