# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.8057977	0.9085885	0.23768349	0.8965233	0.9136372
2	1.1784042	1.3287708	0.4606867	1.1743358	1.348434
3	1.5060331	1.3772331	0.6612697	1.494817	1.8042272
4	1.4596108	1.7900213	0.870259	2.0092437	2.161065
6	1.942161	2.3723047	1.0557003	2.343607	3.0484366
8	2.7150257	3.3728712	0.99364465	3.449907	3.8703206
10	2.8682973	3.7504418	1.0825802	3.843281	4.2526245
12	3.2706254	4.2587214	1.2479066	4.1847296	4.245332
14	3.142827	3.9650295	1.2888753	3.809764	3.864614
16	3.1723623	3.9806147	1.2441783	3.753285	3.9103992
20	3.2123857	3.9749331	1.3148903	4.0099893	3.8844914
24	2.9347954	3.611818	1.4444228	3.6825619	3.474928
28	3.7113943	3.8294086	1.478597	3.8449392	3.8926356
32	3.49017	3.953771	1.9786412	3.941879	4.0537663
