# Benchmark Compactions (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.8507306	1.3739597	1.11252	1.3556997	1.0951383	1.222547
2	0.9972579	0.70881	2.083873	2.3713853	2.1000922	2.2637799
3	1.6616342	0.916408	1.1544372	1.1988916	1.3277951	1.9930109
4	1.6812274	1.1228243	1.7215972	1.8306099	1.7821177	2.3028357
6	1.6898316	1.5399816	1.119618	1.0643424	1.248582	2.1979504
8	1.6632863	1.9199694	1.1472592	1.1079029	1.2510719	2.5556574
10	1.6714847	2.356908	1.1049758	1.1136061	1.2689118	2.6994407
12	1.6277893	2.5808907	1.1151898	1.1380498	1.2647548	2.732063
14	1.2035491	2.7299826	1.0201228	1.049168	1.1436515	2.6292958
16	1.1714126	2.7808068	0.9598378	0.99817026	1.0374137	2.5987988
20	1.1343459	2.8031726	0.86557895	0.8939793	0.93303585	2.5697901
24	1.0661511	2.7443132	0.8906477	0.9384092	0.9416842	2.5350034
28	1.0102254	2.6434214	0.91795003	0.967834	0.9436673	2.5144289
32	0.9677594	2.6718483	1.0234095	1.115388	1.040554	2.2515926
