# Benchmark LUD (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.80833393	0.9226118	0.24085847	0.48077333	0.46627843
2	1.1565253	1.3701457	0.35418496	0.93700725	0.9503367
3	1.2447629	1.5676202	0.35300004	1.2164637	1.2458619
4	1.4126626	1.6913857	0.43756297	1.4197686	1.4444729
6	1.6995333	1.9862772	0.6198869	1.9758488	1.8544677
8	1.9289254	2.2748337	0.7877477	2.300326	2.2272637
10	2.2400794	2.4802284	0.98379225	2.5502598	2.4661424
12	2.3365066	2.6696618	1.1280975	2.615242	2.8662097
14	2.2476609	2.4856892	1.0774957	2.6001842	2.4326653
16	2.0236602	2.302672	1.1518058	2.5005536	2.6427903
20	2.3007948	2.2766688	1.1498116	2.4405534	2.5066607
24	1.9658715	1.9125868	1.1274216	2.0364358	2.1166105
28	2.4358144	1.9512616	1.1767771	2.0287511	2.1233778
32	1.9954047	1.683316	1.201831	2.0493739	1.9499136
