# Benchmark Scans (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	1.0463747	1.1712521	1.1733621	1.1640652	1.1693597	1.16887
2	1.4366591	1.2062473	1.2777923	1.3175106	1.4502004	1.4094057
3	1.4978919	1.397611	1.4198518	1.4263815	1.4785109	1.625624
4	1.6759585	1.5549897	1.6202322	1.641603	1.6976542	1.7176512
6	1.6978017	1.642707	1.5871985	1.5908166	1.5949719	1.6003276
8	1.670371	1.6615646	1.5874563	1.5718768	1.5814179	1.5732689
10	1.6656722	1.6292838	1.5758065	1.5689738	1.5572202	1.5654542
12	1.6645371	1.6126103	1.5859102	1.5612017	1.5780972	1.5277561
14	1.6593071	1.5900398	1.5159038	1.4906927	1.5307481	1.5030769
16	1.6506166	1.5909461	1.4913753	1.4296166	1.482212	1.5042341
20	1.6252183	1.6025589	1.4718288	1.3843429	1.4763883	1.4903516
24	1.5122669	1.5914644	1.4585356	1.3811139	1.445694	1.4828868
28	1.421401	1.5647022	1.4578825	1.365956	1.444732	1.4602795
32	1.3575101	1.5147287	1.3412039	1.3147625	1.4560357	1.4464431
