# Benchmark Compactions (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.53787816	0.9207731	1.1025528	1.325616	1.0764985	1.1990393
2	0.7864659	0.5248728	0.84842306	0.93934375	1.0487313	2.227735
3	0.79331386	0.74832135	0.62541336	0.6166082	0.72456026	1.6833446
4	0.79270923	0.96252316	0.5152528	0.52898794	0.6393157	1.340421
6	0.79564	1.3833537	0.5455896	0.5261117	0.7220455	1.7715015
8	0.7950825	1.7435396	0.53307706	0.5373224	0.7162038	2.0038528
10	0.7820312	2.111299	0.5387836	0.5469763	0.6687025	2.234115
12	0.79095113	2.3658075	0.5323269	0.54093176	0.6592373	2.412913
14	0.57640266	2.4171185	0.51440346	0.48168874	0.60212255	2.4115148
16	0.5607368	2.4393198	0.48413622	0.45483366	0.5585787	2.36985
20	0.5423891	2.397618	0.43337268	0.43402067	0.54067403	2.35465
24	0.5129027	2.4968994	0.43223214	0.43091902	0.5362375	2.2852435
28	0.5139163	2.418055	0.43582404	0.43406594	0.5306973	2.2064698
32	0.6147557	2.5520344	0.5850206	0.56347054	0.75106806	2.2885954
