# Benchmark Scans (n = 4,194,304, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	1.0646007	1.279661	1.318108	1.3096006	1.3376597	1.3017242
2	1.075	1.5223916	1.2246323	0.94954664	1.0066667	1.4183049
3	1.0686307	1.7365606	1.010741	0.83845556	0.8968232	1.5227486
4	1.0514979	1.9393668	0.93250036	0.8031915	0.83137006	1.6256886
6	1.047596	2.0731163	0.961641	0.7862679	0.8476501	1.8864032
8	1.0464141	2.0724545	0.9177385	0.8055831	0.851541	1.8957664
10	1.0689826	2.0246336	0.9124508	0.8006165	0.8523235	1.830561
12	1.0540584	1.977162	0.9034368	0.81529385	0.8734194	1.8187675
14	1.0357314	1.955134	0.8369425	0.71516687	0.8089958	1.8593929
16	1.0340818	1.9416866	0.7944451	0.6849156	0.77751166	1.7682462
20	0.9365354	1.6330483	0.7523754	0.6217562	0.74899065	1.8046137
24	0.97521776	1.8924512	0.7762104	0.6233679	0.7515916	1.6922075
28	0.7353341	1.6083726	0.79192585	0.6350743	0.7579082	1.7300826
32	0.74752474	1.6509026	0.8024966	0.641474	0.7674941	1.2498556
