# Benchmark Scans (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64 1 4	Multi-atomics 2 64 1 4	Multi-atomics 3 64 1 4	WorkAssisting 4
1	0.8912054	1.0533807	1.0994787	1.0816189	0.9856727	1.0988957
2	1.3321735	1.0965693	1.4027877	1.2770648	1.220682	1.3961158
3	1.46091	1.2919127	1.452057	1.4483553	1.4073837	1.5425444
4	1.5727106	1.4408901	1.4885057	1.4892609	1.4749801	1.5913979
6	1.5479674	1.4734993	1.4802488	1.4735609	1.4677278	1.5374945
8	1.4798757	1.5038853	1.5276922	1.5260376	1.5259054	1.5241886
10	1.445028	1.4927322	1.5171641	1.5141641	1.5199137	1.4824291
12	1.4519373	1.468707	1.5202417	1.5135785	1.5144246	1.4819303
14	1.427402	1.453915	1.5087163	1.4967917	1.4862447	1.4401243
16	1.3722389	1.4808711	1.457766	1.4307067	1.4698101	1.4297196
20	1.35979	1.4670554	1.472206	1.4549961	1.4782609	1.4172367
24	1.2927662	1.4573438	1.4473436	1.4286758	1.4500247	1.3896165
28	1.2458088	1.4245733	1.4469868	1.4371277	1.4488914	1.3891233
32	1.0647482	1.3564386	1.3797102	1.3923631	1.3831775	1.3174253
