# Benchmark Scans (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.1728951	1.2322611	1.2757101	1.2908821
2	1.6784794	1.1861126	1.6157544	1.6825448
3	1.6437924	1.4332875	1.3781246	1.7263088
4	1.6690694	1.6212852	1.1759396	1.6605577
6	1.6747026	1.714944	1.2180011	1.7547996
8	1.6605577	1.712689	1.2160112	1.7424749
10	1.6602932	1.6798323	1.1929021	1.7314723
12	1.5898688	1.6970685	1.2055999	1.7006692
14	1.1759396	1.6466498	1.1571349	1.6806451
16	1.1553388	1.6680007	1.1257563	1.661352
20	1.0738946	1.6558081	1.0973041	1.6698718
24	1.0488173	1.5927851	1.0921288	1.647952
28	1.016883	1.5398257	1.0745591	1.5391433
32	0.9629424	1.5088329	1.0369191	1.394913
