# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64	WorkAssisting
1	0.7165131	0.74229074	0.75957924
2	0.85316455	0.86042553	0.8723037
3	0.86781114	0.85532993	0.83347076
4	0.8453177	0.8239609	0.86115843
6	0.90510297	0.8172999	0.8495798
8	0.93524516	0.8253061	0.8618926
10	0.9232877	0.82800984	0.86336464
12	0.90917265	0.80815345	0.83830845
14	0.72891134	0.60684276	0.5926143
16	0.73741794	0.68916154	0.40007913
20	0.6695364	0.62062615	0.67670685
24	0.51163965	0.5601108	0.5898483
28	0.4497331	0.53238547	0.57312924
32	0.41164497	0.5093199	0.48373204
