# Benchmark Scans (n = 4,194,304, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.0579828	1.0870569	1.2763547	1.2779285
2	1.0621029	1.1681695	1.0592805	1.2900174
3	1.0322709	1.3593915	0.8421908	1.4588964
4	1.0312438	1.522774	0.8025399	1.6285355
6	1.0353646	1.655591	0.783608	1.6813757
8	1.028787	1.6362488	0.77366376	1.6603652
10	1.0261387	1.6326402	0.74927706	1.6388361
12	1.024921	1.5774734	0.7700996	1.6234336
14	1.0166764	1.6053283	0.7368122	1.580842
16	1.0023211	1.5993828	0.68808925	1.5002896
20	0.9795841	1.527262	0.67167854	1.5413444
24	0.7630688	1.4903653	0.6890041	1.5286136
28	0.5976932	1.4005406	0.7128903	1.4005406
32	0.7270942	1.3138945	0.8383757	1.3066062
