# Benchmark Compactions (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	0.65765244	1.3736045	1.125736	1.2007923
2	1.2739108	0.7087373	0.90430796	1.4182835
3	1.2529744	0.91040295	0.7025667	1.3722394
4	1.2532271	1.1093554	0.5650948	1.1763537
6	1.2670269	1.4984927	0.5526058	1.6385813
8	1.268838	1.9186351	0.5766589	2.1264546
10	1.2667686	2.113076	0.5832629	2.4506016
12	1.2533535	2.416294	0.6215054	2.5750103
14	0.89191127	2.4266744	0.5818974	2.5064542
16	0.8626267	2.3957973	0.535762	2.4700854
20	0.8293513	2.4799442	0.49019763	2.5340538
24	0.77018905	2.5024164	0.48603722	2.382477
28	0.68718207	2.4153547	0.48506966	2.4948804
32	0.6616089	2.4554436	0.56319964	2.5459948
