# Benchmark Compactions (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.1970276	1.3653095	1.1196895	1.1925892
2	1.6751413	0.9349589	1.764118	2.2472534
3	2.27942	1.1849581	1.5513915	2.5387652
4	2.3537142	1.3042631	1.896319	2.7614663
6	2.3249476	1.6858857	1.4994786	2.8392472
8	2.9348662	2.0721824	2.5252583	3.0854528
10	2.9460077	2.438719	2.0632622	3.0363953
12	2.9085014	2.6450794	2.0822437	3.0544171
14	2.91457	2.728333	1.930769	2.989787
16	2.7248356	2.7195306	1.883316	2.989787
20	2.7091322	2.7952545	1.722414	2.9930818
24	2.348739	2.7869685	1.7484711	2.9334574
28	2.4450612	2.7694442	1.7644999	2.8895917
32	2.5619137	2.6478012	1.9614444	2.8809075
