# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	Sharded SS 1	WorkAssisting 1
1	1.0247036	1.0074509	1.4745752	1.0684531	1.5618234	1.5594038
2	0.993573	1.0032781	1.7063854	1.6401492	2.6912246	2.1509094
3	1.014309	1.0001987	2.0923872	2.05452	3.1120577	2.456932
4	1.0051929	0.997226	2.6015737	2.4121845	3.2964122	2.7795777
6	1.0005522	0.9923106	2.9443579	3.0167167	3.4322953	3.1005545
8	0.98604614	0.98707753	2.8364956	3.3256974	3.353024	3.1523418
10	0.982517	0.98768014	2.85599	3.3033838	3.2959325	3.1054435
12	0.97692275	0.9772389	3.076129	3.2568307	3.292339	3.1052306
14	0.97116274	0.9710794	3.1126993	3.2615206	3.1795592	3.070499
16	0.9631709	0.9679253	2.9204385	3.184253	3.2138498	3.06261
20	0.9524771	0.9570252	3.1889608	3.1724331	3.1753242	3.0675876
24	0.9419398	0.9457552	2.9870746	3.1022532	3.0952575	2.944932
28	0.92796856	0.93274575	2.943401	3.025785	3.0918772	3.0510576
32	0.9139813	0.9232212	2.6391656	2.9414897	2.85509	2.639627
