# Benchmark Compactions (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.190017	1.3633012	1.1136342	1.189886
2	2.2400434	0.92895764	2.1237142	2.2487454
3	2.5408773	1.3302555	2.5730124	2.5551643
4	2.99286	1.7132714	2.6636446	2.9846847
6	3.0026553	2.201852	2.3960726	2.9656613
8	2.902809	2.6187425	2.4411838	3.0865204
10	2.975279	2.7448418	2.4209466	3.127919
12	3.0515563	2.8441448	2.3918881	3.1113067
14	2.9115868	2.854497	2.2644546	3.112402
16	2.8254693	2.8582723	2.8090644	3.1116052
20	2.9662042	2.8940837	2.5566423	3.0580819
24	2.929656	2.8877242	2.506883	3.0232854
28	2.8452265	2.8658533	2.5696807	2.9934127
32	2.850397	2.768125	2.5539565	2.8131273
