# Benchmark Scans (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.1000386	1.2565039	1.2508309	1.2505956
2	1.5712485	1.2658333	1.6612809	1.6025548
3	1.57871	1.5223231	1.454499	1.7021077
4	1.7472845	1.6384919	1.7442287	1.7814593
6	1.733316	1.6925753	1.6388958	1.7283598
8	1.7414877	1.68173	1.6269984	1.724773
10	1.7274617	1.6818719	1.630856	1.691714
12	1.7222414	1.6395693	1.6368784	1.6561774
14	1.6459279	1.6181552	1.6203899	1.6312561
16	1.6130519	1.6398388	1.5626322	1.6542544
20	1.5802107	1.6360729	1.5452011	1.6380882
24	1.5023725	1.6154033	1.5497631	1.6143574
28	1.4603558	1.5501243	1.5193084	1.6159267
32	1.378412	1.4626045	1.5165361	1.4893601
