# Benchmark Scans (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	0.91159797	1.0868855	1.0920691	1.0975114
2	1.3854785	1.1943763	1.4295874	1.4231149
3	1.5198241	1.370758	1.5121802	1.5506324
4	1.5276809	1.4311259	1.533916	1.5637466
6	1.4979638	1.4637202	1.3775848	1.5318093
8	1.4511877	1.4807708	1.5148302	1.5329639
10	1.4438552	1.4580417	1.5016721	1.5058577
12	1.4386286	1.4388082	1.5027816	1.500499
14	1.4358208	1.4233493	1.4974447	1.4779227
16	1.3400512	1.4465735	1.4584721	1.4833119
20	1.3627084	1.4332615	1.470881	1.469943
24	1.3724447	1.4239354	1.4382098	1.449606
28	1.3469944	1.4152511	1.4373727	1.4333804
32	1.323838	1.3531092	1.3674511	1.3443235
