# Benchmark Compactions (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	0.610091	1.4202615	1.1616545	1.234974
2	1.2090092	0.7340014	0.92698497	2.3051877
3	1.4669861	0.9491747	1.9388969	2.307071
4	2.2752664	1.1618137	1.873581	2.7207236
6	2.2925048	1.584601	1.1431078	2.5835536
8	2.273638	2.0048115	1.2071717	2.8616302
10	2.3081183	2.4394855	1.186269	2.874251
12	2.3220356	2.6511943	1.1550556	2.9292383
14	2.2540793	2.6609087	1.0751237	2.939741
16	2.21152	2.7091238	1.0602344	2.9530616
20	2.0984974	2.8050988	0.9847352	2.9339721
24	1.5435113	2.8016975	0.97427934	2.8526375
28	1.4232837	2.7050872	0.9766754	2.8558426
32	1.3445302	2.7117252	1.3347863	2.5542157
