# Benchmark Compactions (n = 4,194,304, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	0.6774765	0.75388724	1.1548169	1.241544
2	0.67403257	0.5098885	0.5520435	0.95628494
3	0.67076194	0.71965	0.4049489	1.1024945
4	0.6722889	0.93873715	0.36190954	1.1396246
6	0.67550427	1.4078007	0.3416956	1.5388441
8	0.6734038	1.777565	0.3468026	2.0102105
10	0.6727762	2.0046282	0.34599	2.1449323
12	0.66944873	2.2083616	0.33985457	2.2685056
14	0.6485326	2.2046149	0.2987676	2.2868707
16	0.6409194	2.1838655	0.28360033	2.264552
20	0.62579465	2.217406	0.26885992	2.3055358
24	0.6252526	2.0501735	0.27101323	2.1413975
28	0.4143495	2.0710871	0.2828595	2.321186
32	0.40271494	2.0937803	0.33463818	2.0547123
