# Benchmark Scans (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	Multi-atomics 64	WorkAssisting
1	1.0735701	1.0610276	1.0459745	1.0500722
2	1.4022536	1.1481937	1.4092079	1.4217975
3	1.5182077	1.3534354	1.4842066	1.5274547
4	1.5078346	1.4152932	1.4940873	1.5207534
6	1.4891138	1.4204552	1.475014	1.4765271
8	1.4049317	1.4319764	1.4639896	1.4773839
10	1.4769883	1.4158077	1.4569982	1.4646373
12	1.4586353	1.3919643	1.4418939	1.4456406
14	1.4402001	1.3819404	1.4340546	1.4377918
16	1.3851497	1.4086683	1.4429939	1.4422079
20	1.3833553	1.3955439	1.4388542	1.4254096
24	1.3760237	1.38884	1.4325032	1.4049317
28	1.3549589	1.3768535	1.4308004	1.3953968
32	1.3380085	1.2844062	1.3575428	1.3217937
