# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Multi-atomics	Work assisting
1	1.0016963	1.0274869	1.010617	0.9748447	1.3525681	1.1330247	1.3073777	1.0038515	1.0131838
2	1.9666754	1.621726	1.6370941	1.9677122	2.682399	1.9005855	1.9466391	1.9494712	1.9764192
3	2.7064323	2.292341	2.3291733	2.8849785	3.882648	2.8092947	2.8646567	2.8872898	2.962668
4	3.842678	3.0107157	2.983387	3.658406	3.3429394	3.7186723	3.8096228	3.9057174	3.720393
6	4.956466	4.0721965	3.9876764	5.0176187	7.139627	4.948253	5.0640535	5.0741334	5.3924775
