# Benchmark LUD (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.85552984	1.3824562	1.2463095	0.89735806	0.91684765
2	1.4679582	2.1784003	1.673273	1.5306915	1.5755799
3	1.8702532	2.7720451	2.1413043	1.8567389	1.9402496
4	2.0570831	3.1469648	2.513824	2.047817	2.2403336
6	1.6573191	3.2154515	2.9758308	1.8948381	2.3350453
