# Benchmark Compactions (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	0.9878888	0.91579485	0.9933573	0.89138174	0.9086076
2	1.798697	1.0486997	1.5229137	1.6468339	1.6961248
3	1.7521563	1.5261517	1.464898	1.0922093	1.7315857
4	1.7989975	1.9192513	1.5407842	1.1865771	1.926118
6	1.4904485	1.5996138	1.5201186	0.8874145	1.9537289
