# Benchmark LUD (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.8285673	1.2758429	1.2118626	0.8709116	0.8961514
2	1.5448563	2.2996802	1.8334396	1.7046533	1.7145625
3	2.162218	1.6140031	2.487673	2.34468	2.4458857
4	2.6907601	1.8734528	3.0334916	2.4278176	2.9547906
6	2.9188023	1.0104532	3.8953607	3.0271053	2.8304627
