# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Multi-atomics	Work assisting
1	1.0094843	0.9994215	1.0133407	0.98939747	1.025167	1.0217932	1.0113026	0.99270666	0.99773425
2	1.9720474	1.9821423	1.9555058	1.9752852	2.0613432	1.9992582	1.9749956	1.9419224	2.0169137
3	2.4217317	2.9350903	2.9537485	2.9038446	3.039565	2.9529717	2.9325354	2.885192	2.970679
4	3.7213478	3.793424	3.8592622	3.787453	3.9338472	3.8592622	3.6293364	3.789157	3.8075728
6	5.1569076	4.3355856	5.0524936	4.7557707	4.8826003	4.7888975	5.07839	5.0597024	5.01638
