# Benchmark LUD (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.848582	1.0621315	1.231377	0.9381727	0.94528764
2	1.6300256	1.086848	1.9074925	1.7834	1.8655306
3	2.3726664	1.2551091	2.7221475	2.6010287	2.6463983
4	3.0177462	1.3326792	3.4706724	3.4034	3.521014
6	3.7079084	0.852718	4.4988647	4.315703	4.525494
