# Benchmark Compactions (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	0.99320954	0.90622103	0.9680774	0.89175063	0.8981203
2	1.8347129	1.0584326	1.4704555	1.6322023	1.7171952
3	1.6609502	1.5490634	1.0861834	1.2190849	1.930245
4	2.196445	1.8109155	1.6412977	2.1892884	2.2776482
6	1.9667947	1.9464965	1.67349	1.6684256	1.9526837
