# Benchmark Compactions (n = 4,194,304, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	1.0082349	0.9130155	0.86677146	0.90016013	0.918612
2	1.8386928	1.0765009	1.0984516	1.6656001	1.7274494
3	2.143637	1.491805	1.4142097	2.0521019	2.1368678
4	2.269273	1.8052247	1.461773	2.1827848	2.1901755
6	2.1804042	0.9645673	1.0793539	1.6577375	2.13944
