# Benchmark Scans (n = 4,194,304, m = 32)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	1.033501	0.99846697	0.8575117	0.9642168	1.0446355
2	1.1240308	1.0944546	0.74416035	1.1742904	1.1934463
3	1.1321225	0.94152737	1.0223744	1.1437016	1.1601384
4	1.1406628	0.90933114	1.0082004	1.1858358	1.1825904
6	1.1008798	0.9258838	0.85650504	1.1337183	1.1708511
