# Benchmark LUD (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.7993635	1.2011666	1.1763767	0.8763179	0.894039
2	1.5101084	1.0588317	1.7708995	1.6931111	1.7470764
3	2.1606011	1.6140809	2.4683585	2.3193302	2.3373556
4	2.8707612	1.9283726	3.3495018	3.190536	3.2448893
6	3.0975742	1.4735994	3.9531305	3.200812	3.8998466
