# Benchmark Scans (n = 4,194,304, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	1.0174792	0.9091941	0.76313895	0.9840837	1.0022285
2	1.0925821	0.9572278	0.86120874	1.0115229	1.1173848
3	1.1089681	0.94149864	0.99331355	1.114729	1.1415508
4	1.1531383	0.95636344	1.0484447	1.1135192	1.09799
6	0.94920206	0.5001828	1.0441433	1.0220721	0.98963076
