# Benchmark Scans (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	0.9984028	0.94968736	0.96640307	0.9989551	0.9841347
2	1.0632646	1.0450103	1.0327255	1.0258806	1.0821681
3	1.0190619	1.075081	1.0542978	1.0483133	1.018232
4	1.1153661	0.9657139	1.1452329	1.0998917	1.0501422
6	1.0253627	0.87668574	1.1277497	0.9398022	1.0662643
