# Benchmark Compactions (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	1.001567	0.8938717	0.8870672	0.8897488	0.89928705
2	1.8239491	1.0595403	1.0559089	1.668693	1.6695061
3	2.03524	1.5050961	1.4721634	1.8778558	2.1298833
4	2.2563555	1.8781028	1.47867	2.2094414	2.2507818
6	2.2137244	1.9331242	1.5426415	2.0483332	2.251551
