# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Multi-atomics	Work assisting
1	0.97811115	0.99501216	0.95584965	0.98114645	1.0515846	1.0569572	1.0626546	0.98160625	0.98097414
2	1.9163998	1.8994559	1.9207932	1.8947309	2.1289544	2.0798063	2.0162435	1.9387944	1.9450958
3	2.3728406	2.8551712	2.8430607	2.8483768	3.167076	3.1181614	3.062877	2.7287087	2.7542734
4	3.6098664	3.7015684	3.708942	3.7387328	3.5951512	4.069208	4.032002	3.7188194	3.7329028
6	3.7817647	2.9917872	4.935788	4.92708	5.4300065	3.3608103	4.635408	4.6162534	4.56594
