# Benchmark Scans (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Multi-atomics	Work assisting
1	1.0219871	1.0053394	0.79130507	0.95143884	1.0035834
2	1.1374985	1.0632148	0.77907777	1.1303993	1.1221024
3	1.1669526	1.0765231	1.0090224	1.1162206	1.1494447
4	1.166034	1.0964452	1.0478047	1.1047685	1.1466566
6	1.1386645	0.8692715	0.81149787	0.85899866	1.076019
