# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (nested loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.98108053	0.91625214	1.2513003	1.1867418	0.90476614	0.9003322
2	1.8491765	1.8194469	1.1853298	2.1239264	1.7860912	1.7864972
3	2.5970626	2.6778858	1.1272231	3.321796	2.603563	2.5927787
4	3.1971703	3.4753833	1.0410651	4.079301	3.428717	3.4578831
6	3.8263998	4.4957094	0.7915641	5.2678185	4.5404415	4.4406705
