# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.7091837	1.4129606	1.2564971	0.7220779	0.7559483
2	1.052034	2.018149	1.7029096	1.0764763	1.1416838
3	1.2452408	2.094162	2.0707636	1.21265	1.2073833
4	1.2885284	2.647619	2.251012	0.6416619	1.346247
6	1.0764763	1.9008547	1.9751332	0.6788767	0.95368785
