# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Multi-atomics	Work assisting
1	1.1435517	0.8463914	0.8740394	0.782623	1.4883013	1.5736175	1.4816457	1.1592783	1.1580099
2	1.7932041	1.5245068	1.5887086	1.488941	2.237346	2.1145458	1.8813944	1.7493228	1.7754893
3	2.0028386	2.0549023	2.0460746	1.867196	2.3381197	2.3228679	2.2406352	2.1253974	1.9886222
4	2.1093948	2.1704357	2.15144	1.9755275	2.5335462	2.5676932	2.4447865	2.2936432	2.1123185
6	2.269327	2.104269	2.2397132	1.8757446	2.219879	1.9143847	2.3999748	2.409384	2.2858
