# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Multi-atomics	Work assisting
1	1.1041391	0.85613537	0.8597427	0.79308635	1.5565655	1.5626527	1.4499546	1.1715839	1.18118
2	1.764327	1.3947062	1.5893271	1.4713103	2.2025723	2.0563953	1.9350282	1.7690463	1.7701892
3	2.0085874	2.1053786	2.0948012	1.8554707	2.5236843	2.367609	2.134194	2.0425985	1.948197
4	2.043469	2.0630312	2.1997936	2.1060722	2.6466124	2.6349773	2.5703564	2.1728787	1.9869471
6	2.3063972	2.0050178	2.131585	2.0522149	2.0079565	2.4383423	2.4005005	2.3022447	2.3626509
