# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Multi-atomics	Work assisting
1	0.7944189	1.0729436	1.1499747	0.8677477	0.8946414
2	1.5009427	1.1425622	1.7690538	1.677188	1.7372894
3	2.191327	1.3775538	2.5226817	2.4717033	2.469551
4	2.920829	1.3632349	3.408548	3.1140544	3.1230557
6	3.262023	1.1612755	4.0836935	3.7780368	4.2106338
